站点名称,线路名称,经度,纬度
古城站,1号线,116.1903,39.9074
八角游乐园站,1号线,116.2127,39.9074
八宝山站,1号线,116.2359,39.9074
玉泉路站,1号线,116.2529,39.9074
五棵松站,1号线,116.2741,39.9072
万寿路站,1号线,116.2948,39.9075
木樨地站,1号线,116.3376,39.9074
南礼士路站,1号线,116.3526,39.9072
天安门西站,1号线,116.3913,39.9075
天安门东站,1号线,116.4012,39.9078
王府井站,1号线,116.4115,39.9089
永安里站,1号线,116.4505,39.9085
积水潭站,2号线,116.3731,39.9487
安定门站,2号线,116.4082,39.9492
东四十条站,2号线,116.4341,39.9338
建国门站,2号线,116.4381,39.908
建国门站,2号线,116.4349,39.9085
北京站,2号线,116.4273,39.905
前门站,2号线,116.3979,39.9002
和平门站,2号线,116.3842,39.9001
长椿街站,2号线,116.3634,39.8994
复兴门站,2号线,116.3569,39.9072
复兴门站,2号线,116.3569,39.9072
阜成门站,2号线,116.356,39.9237
天宫院站,4号线/大兴线,116.3199,39.6703
公益西桥站,4号线/大兴线,116.3708,39.8361
公益西桥站,4号线/大兴线,116.3708,39.8361
新宫站,4号线/大兴线,116.3655,39.8126
西红门站,4号线/大兴线,116.3287,39.7898
高米店北站,4号线/大兴线,116.3308,39.7735
高米店南站,4号线/大兴线,116.3316,39.7635
枣园站,4号线/大兴线,116.3322,39.7535
清源路站,4号线/大兴线,116.3325,39.7427
黄村西大街站,4号线/大兴线,116.3326,39.7318
黄村火车站,4号线/大兴线,116.3326,39.723
义和庄站,4号线/大兴线,116.3191,39.7124
生物医药基地站,4号线/大兴线,116.3217,39.6865
安河桥北站,4号线/大兴线,116.27,40.0122
北宫门站,4号线/大兴线,116.2776,40.0024
圆明园站,4号线/大兴线,116.3102,39.9997
北京大学东门站,4号线/大兴线,116.3158,39.9922
中关村站,4号线/大兴线,116.3165,39.984
人民大学站,4号线/大兴线,116.3214,39.967
魏公村站,4号线/大兴线,116.3232,39.9579
动物园站,4号线/大兴线,116.339,39.9382
新街口站,4号线/大兴线,116.3677,39.9407
西四站,4号线/大兴线,116.3733,39.9242
灵境胡同站,4号线/大兴线,116.3737,39.9159
西单站,4号线/大兴线,116.3741,39.9074
西单站,4号线/大兴线,116.3741,39.9074
宣武门站,4号线/大兴线,116.3743,39.8998
宣武门站,4号线/大兴线,116.3743,39.8998
陶然亭站,4号线/大兴线,116.3744,39.8785
马家堡站,4号线/大兴线,116.3714,39.8531
刘家窑站,5号线,116.4221,39.8575
天坛东门站,5号线,116.4208,39.8826
崇文门站,5号线,116.4171,39.9011
崇文门站,5号线,116.4171,39.9011
东单站,5号线,116.4185,39.9083
东单站,5号线,116.4185,39.9083
灯市口站,5号线,116.4178,39.9171
张自忠路站,5号线,116.4172,39.9336
北新桥站,5号线,116.4169,39.9408
雍和宫站,5号线,116.4171,39.9493
雍和宫站,5号线,116.4171,39.9493
和平里北街站,5号线,116.4185,39.9587
和平西桥站,5号线,116.418,39.9684
惠新西街北口站,5号线,116.417,39.9878
北苑路北站,5号线,116.4181,40.0304
立水桥南站,5号线,116.4145,40.042
天通苑南站,5号线,116.4127,40.0665
天通苑站,5号线,116.4128,40.0752
天通苑北站,5号线,116.4129,40.0837
潞城站,6号线,116.7474,39.9027
草房站,6号线,116.6156,39.9245
物资学院路站,6号线,116.6393,39.9268
通州北关站,6号线,116.6611,39.918
北运河西站,6号线,116.6884,39.903
北运河东站,6号线,116.7071,39.9033
郝家府站,6号线,116.7178,39.9032
东夏园站,6号线,116.7338,39.9031
杨庄站,6号线,116.187,39.9278
西黄村站,6号线,116.2069,39.9336
廖公庄站,6号线,116.2273,39.9324
田村站,6号线,116.2529,39.9295
海淀五路居站,6号线,116.2765,39.9326
花园桥站,6号线,116.3107,39.9323
车公庄西站,6号线,116.3441,39.9325
车公庄站,6号线,116.3544,39.9324
车公庄站,6号线,116.3544,39.9324
平安里站,6号线,116.3693,39.9272
平安里站,6号线,116.3729,39.9339
北海北站,6号线,116.3868,39.9332
东四站,6号线,116.4175,39.9244
东四站,6号线,116.4175,39.9244
朝阳门站,6号线,116.4346,39.9245
朝阳门站,6号线,116.4346,39.9245
东大桥站,6号线,116.4517,39.9231
十里堡站,6号线,116.502,39.9231
青年路站,6号线,116.5174,39.9232
褡裢坡站,6号线,116.564,39.924
黄渠站,6号线,116.5783,39.9242
常营站,6号线,116.5997,39.9257
湾子站,7号线,116.3278,39.89
达官营站,7号线,116.3365,39.8899
广安门内站,7号线,116.3582,39.8894
菜市口站,7号线,116.3744,39.8893
菜市口站,7号线,116.3744,39.8893
虎坊桥站,7号线,116.3846,39.8895
桥湾站,7号线,116.4085,39.8927
磁器口站,7号线,116.4199,39.8932
磁器口站,7号线,116.4199,39.8932
广渠门内站,7号线,116.4339,39.8937
广渠门外站,7号线,116.449,39.8936
大郊亭站,7号线,116.4879,39.8932
百子湾站,7号线,116.4978,39.8925
化工站,7号线,116.5034,39.8874
南楼梓庄站,7号线,116.5011,39.8746
欢乐谷景区站,7号线,116.5001,39.8665
垡头站,7号线,116.5118,39.8607
双合站,7号线,116.5268,39.8597
焦化厂站,7号线,116.5372,39.8555
育知路站,8号线（北段）,116.327,40.0879
平西府站,8号线（北段）,116.3504,40.0906
回龙观东大街站,8号线（北段）,116.363,40.0812
育新站,8号线（北段）,116.3473,40.06
西小口站,8号线（北段）,116.3516,40.0469
永泰庄站,8号线（北段）,116.3546,40.0377
林萃桥站,8号线（北段）,116.373,40.0219
森林公园南门站,8号线（北段）,116.3926,40.0101
奥体中心站,8号线（北段）,116.3938,39.9858
安华桥站,8号线（北段）,116.3947,39.9685
安德里北街站,8号线（北段）,116.3951,39.9572
鼓楼大街站,8号线（北段）,116.3938,39.949
鼓楼大街站,8号线（北段）,116.3938,39.949
什刹海站,8号线（北段）,116.3962,39.9376
南锣鼓巷站,8号线（北段）,116.4042,39.9338
南锣鼓巷站,8号线（北段）,116.4042,39.9338
中国美术馆站,8号线（北段）,116.4108,39.9237
珠市口站,8号线（南段）,116.3984,39.8913
珠市口站,8号线（南段）,116.3984,39.8913
瀛海站,8号线（南段）,116.4489,39.7606
德茂站,8号线（南段）,116.4415,39.7726
五福堂站,8号线（南段）,116.4239,39.785
火箭万源站,8号线（南段）,116.4186,39.7993
东高地站,8号线（南段）,116.4094,39.8051
和义站,8号线（南段）,116.4021,39.8148
大红门南站,8号线（南段）,116.401,39.8367
海户屯站,8号线（南段）,116.4003,39.8518
木樨园站,8号线（南段）,116.3998,39.8593
天桥站,8号线（南段）,116.3987,39.8819
丰台科技园站,9号线,116.2972,39.8252
科怡路站,9号线,116.2974,39.8325
丰台南路站,9号线,116.2967,39.8404
丰台东大街站,9号线,116.2939,39.8551
六里桥东站,9号线,116.3151,39.8869
北京西站,9号线,116.3213,39.8948
北京西站,9号线,116.3213,39.8948
军事博物馆站,9号线,116.3234,39.9074
军事博物馆站,9号线,116.3215,39.9074
白堆子站,9号线,116.3258,39.9238
白石桥南站,9号线,116.3257,39.933
白石桥南站,9号线,116.3257,39.933
车道沟站,10号线,116.2938,39.9479
巴沟站,10号线,116.2934,39.9744
巴沟站,10号线,116.2934,39.9744
巴沟站,10号线,116.2934,39.9744
苏州街站,10号线,116.3063,39.9756
海淀黄庄站,10号线,116.3176,39.976
海淀黄庄站,10号线,116.3176,39.976
知春里站,10号线,116.3287,39.9763
西土城站,10号线,116.3541,39.9765
牡丹园站,10号线,116.3698,39.9766
健德门站,10号线,116.3814,39.9767
北土城站,10号线,116.3942,39.977
北土城站,10号线,116.3942,39.977
安贞门站,10号线,116.406,39.977
惠新西街南口站,10号线,116.4175,39.9771
惠新西街南口站,10号线,116.4175,39.9771
太阳宫站,10号线,116.4475,39.9727
亮马桥站,10号线,116.4618,39.9494
农业展览馆站,10号线,116.4617,39.9413
团结湖站,10号线,116.4618,39.9337
呼家楼站,10号线,116.4616,39.9233
呼家楼站,10号线,116.4616,39.9233
金台夕照站,10号线,116.4617,39.9168
国贸站,10号线,116.4618,39.9091
国贸站,10号线,116.4618,39.9091
双井站,10号线,116.4618,39.8935
双井站,10号线,116.4618,39.8935
劲松站,10号线,116.4613,39.8844
潘家园站,10号线,116.4609,39.8754
分钟寺站,10号线,116.454,39.8522
成寿寺站,10号线,116.4475,39.8459
石榴庄站,10号线,116.4141,39.8459
大红门站,10号线,116.3992,39.8454
大红门站,10号线,116.3992,39.8454
角门东站,10号线,116.3856,39.8451
角门西站,10号线,116.3712,39.8458
角门西站,10号线,116.3712,39.8458
纪家庙站,10号线,116.3334,39.8444
丰台站,10号线,116.3045,39.8496
泥洼站,10号线,116.3042,39.8586
六里桥站,10号线,116.3028,39.8802
六里桥站,10号线,116.3028,39.8802
莲花桥站,10号线,116.3103,39.8979
公主坟站,10号线,116.3099,39.9075
公主坟站,10号线,116.3099,39.9075
西钓鱼台站,10号线,116.2981,39.9235
慈寿寺站,10号线,116.2955,39.9333
慈寿寺站,10号线,116.2955,39.9333
长春桥站,10号线,116.2943,39.9585
火器营站,10号线,116.2891,39.9659
西直门站,13号线,116.3554,39.9405
西直门站,13号线,116.3554,39.9405
西直门站,13号线,116.3532,39.9417
西直门站,13号线,116.3554,39.9405
大钟寺站,13号线,116.3451,39.9666
知春路站,13号线,116.34,39.9765
知春路站,13号线,116.34,39.9765
五道口站,13号线,116.3377,39.9929
上地站,13号线,116.3202,40.033
龙泽站,13号线,116.3194,40.0709
回龙观站,13号线,116.3361,40.0708
霍营站,13号线,116.3603,40.0719
霍营站,13号线,116.3603,40.0719
立水桥站,13号线,116.4124,40.053
立水桥站,13号线,116.4124,40.053
北苑站,13号线,116.4345,40.043
芍药居站,13号线,116.4359,39.9776
芍药居站,13号线,116.4359,39.9776
光熙门站,13号线,116.4318,39.9683
柳芳站,13号线,116.4327,39.9582
张郭庄站,14号线西段,116.1872,39.8581
园博园站,14号线西段,116.2016,39.8613
大瓦窑站,14号线西段,116.2405,39.8595
郭庄子站,14号线西段,116.2531,39.8648
大井站,14号线西段,116.2761,39.8652
七里庄站,14号线西段,116.2943,39.8668
七里庄站,14号线西段,116.2943,39.8668
西局站,14号线西段,116.3038,39.8668
西局站,14号线西段,116.3038,39.8668
北京南站,14号线东段（含中段）,116.379,39.865
北京南站,14号线东段（含中段）,116.379,39.865
永定门外站,14号线东段（含中段）,116.3994,39.8674
永定门外站,14号线东段（含中段）,116.3994,39.8674
景泰站,14号线东段（含中段）,116.411,39.8653
蒲黄榆站,14号线东段（含中段）,116.4216,39.8656
蒲黄榆站,14号线东段（含中段）,116.4237,39.8656
方庄站,14号线东段（含中段）,116.4402,39.8659
十里河站,14号线东段（含中段）,116.458,39.8664
十里河站,14号线东段（含中段）,116.458,39.8664
北工大西门站,14号线东段（含中段）,116.4773,39.8754
平乐园站,14号线东段（含中段）,116.4773,39.8853
九龙山站,14号线东段（含中段）,116.4787,39.8932
九龙山站,14号线东段（含中段）,116.4787,39.8932
大望路站,14号线东段（含中段）,116.4758,39.9083
大望路站,14号线东段（含中段）,116.4761,39.9087
金台路站,14号线东段（含中段）,116.4781,39.9236
金台路站,14号线东段（含中段）,116.4781,39.9236
朝阳公园站,14号线东段（含中段）,116.4783,39.9335
枣营站,14号线东段（含中段）,116.4749,39.9441
东风北桥站,14号线东段（含中段）,116.4859,39.9584
将台站,14号线东段（含中段）,116.4895,39.9711
望京南站,14号线东段（含中段）,116.4816,39.9846
阜通站,14号线东段（含中段）,116.4717,39.9917
东湖渠站,14号线东段（含中段）,116.4674,40.0107
来广营站,14号线东段（含中段）,116.467,40.0206
善各庄站,14号线东段（含中段）,116.4782,40.0272
俸伯站,15号线,116.6847,40.1326
顺义站,15号线,116.657,40.13
石门站,15号线,116.6411,40.1298
南法信站,15号线,116.6095,40.1285
后沙峪站,15号线,116.5642,40.1141
花梨坎站,15号线,116.5576,40.0844
国展站,15号线,116.5551,40.07
孙河站,15号线,116.5347,40.0451
马泉营站,15号线,116.5035,40.0337
崔各庄站,15号线,116.493,40.0222
望京东站,15号线,116.4871,40.0032
望京站,15号线,116.4694,39.9985
望京站,15号线,116.4694,39.9985
望京西站,15号线,116.4473,39.9952
望京西站,15号线,116.4499,39.9957
关庄站,15号线,116.4309,40.0011
大屯路东站,15号线,116.4174,40.0038
大屯路东站,15号线,116.4174,40.0038
安立路站,15号线,116.4078,40.0026
奥林匹克公园站,15号线,116.3918,40.0022
奥林匹克公园站,15号线,116.3918,40.0022
北沙滩站,15号线,116.3681,40.0015
六道口站,15号线,116.3527,40.001
清华东路西口站,15号线,116.3395,40.0007
国家图书馆站,16号线,116.3233,39.9439
国家图书馆站,16号线,116.3252,39.9431
西苑站,16号线,116.2909,39.9983
西苑站,16号线,116.2909,39.9983
农大南路站,16号线,116.2823,40.0214
马连洼站,16号线,116.2725,40.0326
西北旺站,16号线,116.2579,40.0487
永丰南站,16号线,116.2482,40.0656
永丰站,16号线,116.2385,40.0719
屯佃站,16号线,116.2158,40.0685
稻香湖路站,16号线,116.1881,40.0689
温阳路站,16号线,116.1614,40.0685
北安河站,16号线,116.1304,40.0681
四惠站,八通线,116.4955,39.9087
四惠站,八通线,116.4955,39.9087
四惠东站,八通线,116.5157,39.9085
四惠东站,八通线,116.5157,39.9085
高碑店站,八通线,116.5314,39.9094
传媒大学站,八通线,116.5546,39.9092
双桥站,八通线,116.5768,39.9101
管庄站,八通线,116.599,39.9091
八里桥站,八通线,116.6187,39.9061
通州北苑站,八通线,116.6373,39.9039
果园站,八通线,116.6466,39.8934
九棵树站,八通线,116.6575,39.8903
梨园站,八通线,116.6687,39.8837
临河里站,八通线,116.6788,39.8755
土桥站,八通线,116.6863,39.8719
西二旗站,昌平线,116.3063,40.053
西二旗站,昌平线,116.3063,40.053
朱辛庄站,昌平线,116.3137,40.1043
朱辛庄站,昌平线,116.3137,40.1043
生命科学园站,昌平线,116.2942,40.0948
昌平西山口站,昌平线,116.1954,40.2446
十三陵景区站,昌平线,116.2076,40.2402
昌平站,昌平线,116.2336,40.2206
昌平东关站,昌平线,116.2621,40.2217
北邵洼站,昌平线,116.2819,40.222
南邵站,昌平线,116.2875,40.2075
沙河高教园站,昌平线,116.2805,40.1647
沙河站,昌平线,116.2889,40.1483
巩华城站,昌平线,116.294,40.1309
宋家庄站,亦庄线,116.4284,39.8458
宋家庄站,亦庄线,116.4284,39.8458
宋家庄站,亦庄线,116.4284,39.8458
肖村站,亦庄线,116.4484,39.8342
小红门站,亦庄线,116.4592,39.828
旧宫站,亦庄线,116.4608,39.8069
亦庄桥站,亦庄线,116.4803,39.803
亦庄文化园站,亦庄线,116.4906,39.8069
万源街站,亦庄线,116.5054,39.8029
荣京东街站,亦庄线,116.5134,39.7931
荣昌东街站,亦庄线,116.5217,39.7828
同济南路站,亦庄线,116.5398,39.7729
经海路站,亦庄线,116.5622,39.7836
次渠南站,亦庄线,116.5814,39.7951
次渠站,亦庄线,116.5915,39.8035
亦庄火车站,亦庄线,116.6019,39.8126
首经贸站,房山线,116.3202,39.8445
郭公庄站,房山线,116.3019,39.8143
郭公庄站,房山线,116.3019,39.8143
大葆台站,房山线,116.2917,39.8078
稻田站,房山线,116.2188,39.7949
长阳站,房山线,116.2127,39.7639
篱笆房站,房山线,116.1895,39.7606
广阳城站,房山线,116.185,39.7479
良乡大学城北站,房山线,116.1835,39.7299
良乡大学城站,房山线,116.1765,39.7232
良乡大学城西站,房山线,116.1563,39.7232
良乡南关站,房山线,116.1408,39.7232
苏庄站,房山线,116.1253,39.7232
金安桥站,S1线,116.1632,39.9236
金安桥站,S1线,116.1632,39.9236
四道桥站,S1线,116.134,39.916
桥户营站,S1线,116.1258,39.9124
上岸站,S1线,116.1222,39.9051
栗园庄站,S1线,116.1233,39.8958
小园站,S1线,116.1144,39.8905
石厂站,S1线,116.1003,39.8894
燕山站,燕房线,115.9734,39.7196
房山城关站,燕房线,115.9896,39.7061
饶乐府站,燕房线,116.0061,39.7015
马各庄站,燕房线,116.0166,39.7051
大石河东站,燕房线,116.0399,39.7099
星城站,燕房线,116.0614,39.7137
阎村站,燕房线,116.0802,39.7167
紫草坞站,燕房线,116.0867,39.7246
阎村东站,燕房线,116.1008,39.729
东直门站,首都机场线,116.4358,39.9416
东直门站,首都机场线,116.4336,39.9411
东直门站,首都机场线,116.4351,39.9424
三元桥站,首都机场线,116.4571,39.9608
三元桥站,首都机场线,116.457,39.9615
草桥站,大兴机场线,116.3514,39.8459
